code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,average_score
BBB,2014B,F,East Anglian Region,A Level or Equivalent,0-10%,0-35,0,120,N,Withdrawn,
BBB,2014B,F,South Region,Lower Than A Level,90-100%,35-55,0,60,N,Pass,72.27272727272727
BBB,2014B,F,East Midlands Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,80.0
BBB,2014B,F,South Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,85.45454545454545
BBB,2014B,F,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,88.36363636363636
BBB,2014B,F,London Region,Lower Than A Level,50-60%,0-35,0,60,N,Fail,
BBB,2014B,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,81.2
BBB,2014B,F,Scotland,HE Qualification,70-80%,0-35,0,60,N,Fail,72.16666666666667
BBB,2014B,M,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,87.4
BBB,2014B,F,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,70.45454545454545
BBB,2014B,F,Wales,Lower Than A Level,10-20,0-35,0,60,N,Pass,60.333333333333336
BBB,2014B,F,London Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn,
BBB,2014B,F,South Region,HE Qualification,50-60%,0-35,0,60,N,Fail,49.333333333333336
BBB,2014B,F,East Midlands Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,91.5
BBB,2014B,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn,
BBB,2014B,F,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn,68.5
BBB,2014B,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,66.5
BBB,2014B,F,North Western Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,82.2
BBB,2014B,M,North Western Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,75.75
BBB,2014B,F,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Fail,50.0
BBB,2014B,F,East Anglian Region,Lower Than A Level,30-40%,35-55,0,60,N,Withdrawn,
BBB,2014B,F,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,78.88888888888889
BBB,2014B,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,79.72727272727273
BBB,2014B,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,88.0
BBB,2014B,F,London Region,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn,
BBB,2014B,F,South East Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,86.8
BBB,2014B,F,South Region,Lower Than A Level,40-50%,35-55,0,60,N,Fail,
BBB,2014B,F,South East Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Withdrawn,
BBB,2014B,M,East Anglian Region,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn,
BBB,2014B,M,East Anglian Region,HE Qualification,50-60%,0-35,0,120,N,Pass,76.27272727272727
BBB,2014B,F,East Midlands Region,Lower Than A Level,20-30%,35-55,0,60,N,Withdrawn,82.5
BBB,2014B,F,North Western Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,South East Region,Lower Than A Level,20-30%,35-55,0,120,N,Fail,63.1
BBB,2014B,M,Scotland,HE Qualification,10-20,0-35,0,60,N,Pass,83.4
BBB,2014B,F,Scotland,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,East Midlands Region,Lower Than A Level,20-30%,0-35,0,120,N,Fail,66.85714285714286
BBB,2014B,F,London Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,72.9090909090909
BBB,2014B,F,East Anglian Region,No Formal quals,40-50%,0-35,0,60,N,Distinction,87.63636363636364
BBB,2014B,F,North Western Region,Lower Than A Level,80-90%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,East Anglian Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,63.0
BBB,2014B,F,Yorkshire Region,Lower Than A Level,30-40%,0-35,0,60,N,Withdrawn,84.83333333333333
BBB,2014B,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,0,120,N,Fail,72.33333333333333
BBB,2014B,F,Yorkshire Region,A Level or Equivalent,60-70%,0-35,0,60,N,Distinction,88.45454545454545
BBB,2014B,F,Yorkshire Region,Lower Than A Level,10-20,35-55,0,60,N,Distinction,82.72727272727273
BBB,2014B,F,South West Region,Lower Than A Level,50-60%,0-35,0,60,Y,Distinction,87.2
BBB,2014B,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,85.3
BBB,2014B,F,East Anglian Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass,90.45454545454545
BBB,2014B,F,West Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,80.63636363636364
BBB,2014B,F,London Region,Lower Than A Level,10-20,0-35,0,60,N,Pass,80.6
BBB,2014B,F,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,120,N,Pass,70.45454545454545
BBB,2014B,F,South Region,Lower Than A Level,90-100%,35-55,0,60,N,Fail,71.875
BBB,2014B,F,East Midlands Region,Lower Than A Level,80-90%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,69.0909090909091
BBB,2014B,F,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,83.27272727272727
BBB,2014B,F,East Midlands Region,Lower Than A Level,10-20,0-35,0,60,Y,Withdrawn,93.0
BBB,2014B,F,Wales,Lower Than A Level,40-50%,0-35,0,60,N,Fail,71.0
BBB,2014B,F,South Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail,42.0
BBB,2014B,F,Scotland,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,South Region,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,88.54545454545455
BBB,2014B,F,North Western Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn,
BBB,2014B,M,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Pass,87.5
BBB,2014B,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,
BBB,2014B,M,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,82.36363636363636
BBB,2014B,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,80.63636363636364
BBB,2014B,F,South Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,N,Fail,76.66666666666667
BBB,2014B,F,Scotland,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn,
BBB,2014B,F,North Western Region,Lower Than A Level,20-30%,0-35,0,60,Y,Withdrawn,
BBB,2014B,F,Scotland,Lower Than A Level,60-70%,35-55,0,60,N,Withdrawn,
BBB,2014B,F,South East Region,A Level or Equivalent,80-90%,35-55,0,60,N,Distinction,91.63636363636364
BBB,2014B,F,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,73.28571428571429
BBB,2014B,F,East Anglian Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,
BBB,2014B,F,London Region,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,
BBB,2014B,F,North Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,49.375
BBB,2014B,F,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,61.36363636363637
BBB,2014B,F,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,80.4
BBB,2014B,F,North Western Region,Lower Than A Level,80-90%,35-55,0,60,N,Distinction,82.54545454545455
BBB,2014B,F,North Western Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,59.72727272727273
BBB,2014B,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,86.42857142857143
BBB,2014B,F,North Western Region,No Formal quals,0-10%,35-55,0,60,N,Fail,
BBB,2014B,F,Yorkshire Region,A Level or Equivalent,10-20,35-55,0,120,N,Distinction,78.0909090909091
BBB,2014B,F,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,84.8
BBB,2014B,M,London Region,Lower Than A Level,10-20,35-55,0,60,N,Fail,72.22222222222223
BBB,2014B,F,Wales,Lower Than A Level,90-100%,35-55,0,60,N,Pass,81.63636363636364
BBB,2014B,F,Scotland,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,87.63636363636364
BBB,2014B,F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,88.5
BBB,2014B,F,South East Region,HE Qualification,40-50%,0-35,0,90,N,Withdrawn,
BBB,2014B,F,North Western Region,Lower Than A Level,30-40%,0-35,0,60,Y,Withdrawn,
BBB,2014B,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn,
BBB,2014B,F,Ireland,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,94.4
BBB,2014B,F,East Midlands Region,Lower Than A Level,70-80%,35-55,0,160,N,Withdrawn,
BBB,2014B,F,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,83.22222222222223
BBB,2014B,M,West Midlands Region,Lower Than A Level,70-80%,0-35,0,60,Y,Withdrawn,
BBB,2014B,F,London Region,HE Qualification,20-30%,35-55,0,60,N,Fail,60.0
BBB,2014B,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,83.0
BBB,2014B,F,South East Region,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction,80.45454545454545
BBB,2014B,F,South Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Fail,87.72727272727273
BBB,2014B,F,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn,31.4
BBB,2014B,F,Wales,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,82.9090909090909
BBB,2014B,F,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,
BBB,2014B,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Distinction,89.81818181818181
BBB,2014B,F,London Region,No Formal quals,0-10%,0-35,0,60,N,Pass,70.5
BBB,2014B,M,North Western Region,Lower Than A Level,90-100%,0-35,0,60,N,Fail,82.5
BBB,2014B,F,South East Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,89.72727272727273
BBB,2014B,F,Wales,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,58.42857142857143
BBB,2014B,F,London Region,Lower Than A Level,30-40%,0-35,0,120,N,Withdrawn,
BBB,2014B,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,Y,Withdrawn,64.66666666666667
BBB,2014B,F,London Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,79.55555555555556
BBB,2014B,F,North Western Region,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn,
BBB,2014B,F,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,60,N,Pass,68.45454545454545
BBB,2014B,F,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,58.54545454545455
BBB,2014B,F,North Region,A Level or Equivalent,,0-35,0,60,N,Pass,84.0
BBB,2014B,F,Ireland,A Level or Equivalent,60-70%,35-55,0,60,N,Fail,84.3
BBB,2014B,F,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,Scotland,HE Qualification,40-50%,35-55,0,60,N,Pass,67.63636363636364
BBB,2014B,F,Scotland,HE Qualification,60-70%,35-55,0,60,N,Distinction,87.9090909090909
BBB,2014B,F,Scotland,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,81.0
BBB,2014B,F,East Midlands Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,76.81818181818181
BBB,2014B,F,Scotland,A Level or Equivalent,70-80%,35-55,0,60,N,Fail,75.6
BBB,2014B,F,Scotland,Lower Than A Level,60-70%,35-55,0,60,N,Pass,86.81818181818181
BBB,2014B,F,East Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Fail,77.72727272727273
BBB,2014B,F,Yorkshire Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,85.27272727272727
BBB,2014B,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,Wales,Lower Than A Level,60-70%,0-35,0,60,N,Pass,85.54545454545455
BBB,2014B,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,48.0
BBB,2014B,F,West Midlands Region,A Level or Equivalent,80-90%,0-35,0,120,N,Withdrawn,
BBB,2014B,F,Ireland,Lower Than A Level,,0-35,0,60,N,Withdrawn,
BBB,2014B,F,South Region,Lower Than A Level,20-30%,35-55,0,60,N,Fail,82.55555555555556
BBB,2014B,F,East Anglian Region,HE Qualification,90-100%,0-35,0,60,N,Distinction,81.5
BBB,2014B,F,London Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn,
BBB,2014B,F,South East Region,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,West Midlands Region,HE Qualification,10-20,0-35,0,120,N,Fail,67.6
BBB,2014B,F,Wales,A Level or Equivalent,70-80%,0-35,0,60,N,Distinction,81.27272727272727
BBB,2014B,F,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn,74.0
BBB,2014B,F,North Western Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,77.5
BBB,2014B,M,Scotland,Lower Than A Level,20-30%,35-55,0,60,N,Distinction,80.45454545454545
BBB,2014B,F,London Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,74.0
BBB,2014B,F,North Western Region,HE Qualification,0-10%,0-35,0,120,Y,Distinction,90.36363636363636
BBB,2014B,F,London Region,No Formal quals,50-60%,35-55,0,120,N,Fail,79.0
BBB,2014B,F,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Distinction,92.63636363636364
BBB,2014B,F,Scotland,Lower Than A Level,70-80%,0-35,0,60,N,Pass,74.3
BBB,2014B,F,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,58.333333333333336
BBB,2014B,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,86.3
BBB,2014B,F,South Region,HE Qualification,70-80%,35-55,0,60,N,Withdrawn,
BBB,2014B,F,East Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,Y,Fail,80.0
BBB,2014B,F,West Midlands Region,No Formal quals,10-20,0-35,0,60,N,Withdrawn,
BBB,2014B,F,East Midlands Region,Lower Than A Level,10-20,0-35,0,120,N,Fail,56.0
BBB,2014B,M,Scotland,Lower Than A Level,70-80%,35-55,0,60,N,Pass,86.81818181818181
BBB,2014B,F,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,68.0
BBB,2014B,F,London Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn,57.0
BBB,2014B,F,Wales,HE Qualification,0-10%,0-35,0,60,N,Fail,70.2
BBB,2014B,F,Scotland,HE Qualification,10-20,0-35,0,60,N,Pass,80.55555555555556
BBB,2014B,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,150,N,Withdrawn,
BBB,2014B,F,Scotland,HE Qualification,40-50%,35-55,0,60,N,Pass,81.3
BBB,2014B,F,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,Withdrawn,81.0
BBB,2014B,F,London Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,68.375
BBB,2014B,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,77.9090909090909
BBB,2014B,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Withdrawn,64.0
BBB,2014B,F,Yorkshire Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,71.71428571428571
BBB,2014B,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,N,Fail,77.81818181818181
BBB,2014B,F,Scotland,Lower Than A Level,0-10%,0-35,0,60,N,Fail,59.0
BBB,2014B,F,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,60.18181818181818
BBB,2014B,F,South East Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,89.2
BBB,2014B,F,Scotland,HE Qualification,0-10%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,Wales,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn,67.0
BBB,2014B,F,Scotland,A Level or Equivalent,0-10%,35-55,0,60,N,Fail,73.0
BBB,2014B,F,South East Region,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn,82.0
BBB,2014B,M,London Region,A Level or Equivalent,0-10%,35-55,0,60,N,Withdrawn,
BBB,2014B,F,Scotland,Lower Than A Level,0-10%,0-35,0,60,N,Fail,75.1
BBB,2014B,M,Wales,Lower Than A Level,0-10%,0-35,0,60,N,Pass,91.0
BBB,2014B,M,Wales,HE Qualification,30-40%,35-55,0,60,N,Withdrawn,
BBB,2014B,F,Wales,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,85.8
BBB,2014B,F,South Region,A Level or Equivalent,60-70%,0-35,0,60,Y,Withdrawn,
BBB,2014B,F,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,68.72727272727273
BBB,2014B,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,South Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,84.63636363636364
BBB,2014B,F,London Region,HE Qualification,20-30%,0-35,0,60,N,Withdrawn,
BBB,2014B,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,90,N,Withdrawn,
BBB,2014B,M,Wales,Lower Than A Level,60-70%,0-35,0,60,N,Pass,76.9
BBB,2014B,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,54.0
BBB,2014B,F,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,79.54545454545455
BBB,2014B,F,South West Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,89.0
BBB,2014B,F,East Anglian Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,68.6
BBB,2014B,F,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,120,N,Withdrawn,
BBB,2014B,F,Scotland,HE Qualification,0-10%,0-35,0,60,N,Withdrawn,76.0
BBB,2014B,F,South East Region,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,East Anglian Region,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,London Region,A Level or Equivalent,10-20,35-55,0,120,N,Pass,82.27272727272727
BBB,2014B,M,London Region,HE Qualification,20-30%,0-35,0,120,N,Pass,75.85714285714286
BBB,2014B,F,West Midlands Region,Lower Than A Level,10-20,0-35,0,120,N,Pass,74.0
BBB,2014B,F,South East Region,Lower Than A Level,50-60%,35-55,0,120,N,Withdrawn,
BBB,2014B,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Distinction,89.8
BBB,2014B,F,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,87.4
BBB,2014B,F,Wales,Lower Than A Level,60-70%,0-35,0,60,Y,Fail,72.66666666666667
BBB,2014B,F,East Anglian Region,Lower Than A Level,80-90%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,Scotland,Lower Than A Level,0-10%,35-55,0,60,N,Fail,87.5
BBB,2014B,M,West Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn,
BBB,2014B,M,South East Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail,77.45454545454545
BBB,2014B,F,Wales,No Formal quals,30-40%,35-55,0,60,N,Pass,83.0909090909091
BBB,2014B,F,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,78.1
BBB,2014B,F,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,South West Region,Lower Than A Level,30-40%,0-35,0,60,Y,Fail,73.66666666666667
BBB,2014B,F,Scotland,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,84.9
BBB,2014B,F,Scotland,HE Qualification,50-60%,35-55,0,60,N,Distinction,87.72727272727273
BBB,2014B,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,80.54545454545455
BBB,2014B,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,Y,Pass,86.6
BBB,2014B,F,East Midlands Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,80.45454545454545
BBB,2014B,F,North Western Region,Lower Than A Level,0-10%,35-55,0,60,Y,Withdrawn,61.0
BBB,2014B,F,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,40.0
BBB,2014B,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,64.77777777777777
BBB,2014B,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,81.66666666666667
BBB,2014B,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,56.0
BBB,2014B,F,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,120,N,Pass,91.36363636363636
BBB,2014B,F,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Pass,90.6
BBB,2014B,F,West Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,76.18181818181819
BBB,2014B,F,South East Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,67.0
BBB,2014B,F,Wales,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,75.36363636363636
BBB,2014B,F,Scotland,Lower Than A Level,0-10%,35-55,0,60,N,Fail,71.54545454545455
BBB,2014B,F,Scotland,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,83.55555555555556
BBB,2014B,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Fail,81.0
BBB,2014B,F,Scotland,Lower Than A Level,70-80%,35-55,0,60,N,Pass,83.6
BBB,2014B,F,South Region,Lower Than A Level,20-30%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,Scotland,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,79.22222222222223
BBB,2014B,F,North Western Region,Lower Than A Level,30-40%,35-55,0,60,N,Withdrawn,
BBB,2014B,F,South West Region,A Level or Equivalent,90-100%,0-35,0,120,N,Withdrawn,54.0
BBB,2014B,F,Scotland,HE Qualification,30-40%,35-55,0,60,N,Withdrawn,74.66666666666667
BBB,2014B,F,West Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,75.81818181818181
BBB,2014B,F,North Western Region,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn,
BBB,2014B,F,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,120,N,Fail,81.36363636363636
BBB,2014B,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,N,Pass,94.0909090909091
BBB,2014B,F,East Anglian Region,No Formal quals,30-40%,0-35,0,60,N,Pass,85.0
BBB,2014B,F,East Midlands Region,Lower Than A Level,10-20,0-35,0,60,Y,Fail,67.75
BBB,2014B,M,North Western Region,Lower Than A Level,0-10%,0-35,0,120,Y,Withdrawn,
BBB,2014B,F,North Western Region,A Level or Equivalent,10-20,0-35,0,60,Y,Withdrawn,
BBB,2014B,M,South East Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,81.72727272727273
BBB,2014B,F,West Midlands Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,73.66666666666667
BBB,2014B,F,South West Region,A Level or Equivalent,10-20,0-35,0,120,N,Withdrawn,82.75
BBB,2014B,F,East Midlands Region,No Formal quals,20-30%,0-35,0,60,N,Pass,79.18181818181819
BBB,2014B,F,Scotland,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,83.75
BBB,2014B,F,North Western Region,Lower Than A Level,60-70%,35-55,0,60,N,Distinction,91.81818181818181
BBB,2014B,M,South Region,Lower Than A Level,20-30%,0-35,0,60,Y,Fail,88.0
BBB,2014B,F,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,71.0
BBB,2014B,F,Wales,Lower Than A Level,30-40%,35-55,0,60,N,Pass,64.45454545454545
BBB,2014B,F,South East Region,HE Qualification,10-20,0-35,0,120,N,Pass,72.54545454545455
BBB,2014B,F,South Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,80.36363636363636
BBB,2014B,F,East Anglian Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,East Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass,62.81818181818182
BBB,2014B,F,West Midlands Region,A Level or Equivalent,10-20,0-35,0,60,Y,Withdrawn,68.0
BBB,2014B,F,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,120,Y,Fail,83.83333333333333
BBB,2014B,F,East Midlands Region,A Level or Equivalent,0-10%,35-55,0,60,N,Withdrawn,80.75
BBB,2014B,F,London Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,77.45454545454545
BBB,2014B,M,South East Region,A Level or Equivalent,30-40%,35-55,0,60,N,Fail,83.25
BBB,2014B,F,Wales,HE Qualification,30-40%,35-55,0,120,N,Distinction,92.3
BBB,2014B,F,South Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,92.81818181818181
BBB,2014B,F,Scotland,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,92.0
BBB,2014B,F,South West Region,Lower Than A Level,20-30%,35-55,0,60,N,Distinction,92.18181818181819
BBB,2014B,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,81.5
BBB,2014B,F,London Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn,
BBB,2014B,F,South Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,
BBB,2014B,F,West Midlands Region,A Level or Equivalent,10-20,0-35,0,60,N,Distinction,88.72727272727273
BBB,2014B,F,North Western Region,Lower Than A Level,10-20,0-35,0,60,N,Fail,86.5
BBB,2014B,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,81.22222222222223
BBB,2014B,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,80.0
BBB,2014B,F,London Region,Lower Than A Level,10-20,0-35,0,60,N,Fail,69.66666666666667
BBB,2014B,F,South East Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,84.1
BBB,2014B,F,London Region,A Level or Equivalent,10-20,35-55,0,60,Y,Pass,74.44444444444444
BBB,2014B,F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn,66.0
BBB,2014B,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,80.1
BBB,2014B,F,South Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail,57.0
BBB,2014B,F,South East Region,Lower Than A Level,50-60%,0-35,0,60,N,Distinction,93.54545454545455
BBB,2014B,F,London Region,A Level or Equivalent,40-50%,0-35,0,120,N,Fail,87.5
BBB,2014B,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,120,N,Fail,77.66666666666667
BBB,2014B,F,East Midlands Region,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn,59.0
